dim_hour,trip_count,dim_year,dim_month
8,11490,2022,12
9,8822,2022,12
10,7167,2022,12
11,8172,2022,12
12,10303,2022,12
13,11465,2022,12
14,11213,2022,12
15,12430,2022,12
16,15418,2022,12
17,17267,2022,12
18,14424,2022,12
19,10701,2022,12
20,7873,2022,12
21,6455,2022,12
22,5184,2022,12
23,4045,2022,12
0,2338,2023,1
1,1700,2023,1
2,1432,2023,1
3,981,2023,1
4,786,2023,1
5,1250,2023,1
6,3004,2023,1
7,6394,2023,1
8,12644,2023,1
9,9210,2023,1
10,7267,2023,1
11,8287,2023,1
12,9964,2023,1
13,10488,2023,1
14,10508,2023,1
15,12034,2023,1
16,14550,2023,1
17,17708,2023,1
18,14540,2023,1
19,11347,2023,1
20,8450,2023,1
21,6709,2023,1
22,4823,2023,1
23,3470,2023,1
0,2096,2023,2
1,1228,2023,2
2,934,2023,2
3,576,2023,2
4,534,2023,2
5,1005,2023,2
6,2517,2023,2
7,5617,2023,2
8,11204,2023,2
9,8236,2023,2
10,6417,2023,2
11,7861,2023,2
12,10014,2023,2
13,10741,2023,2
14,10908,2023,2
15,12607,2023,2
16,15003,2023,2
17,18026,2023,2
18,14407,2023,2
19,10598,2023,2
20,8094,2023,2
21,6307,2023,2
22,4437,2023,2
23,3272,2023,2
0,2606,2023,3
1,1579,2023,3
2,1006,2023,3
3,757,2023,3
4,679,2023,3
5,1285,2023,3
6,3257,2023,3
7,7667,2023,3
8,15055,2023,3
9,10648,2023,3
10,7779,2023,3
11,8924,2023,3
12,11479,2023,3
13,12275,2023,3
14,12470,2023,3
15,14354,2023,3
16,18271,2023,3
17,24827,2023,3
18,21230,2023,3
19,16425,2023,3
20,11936,2023,3
21,8946,2023,3
22,6415,2023,3
23,4434,2023,3
0,4962,2023,4
1,3419,2023,4
2,2397,2023,4
3,1332,2023,4
4,1079,2023,4
5,1774,2023,4
6,4677,2023,4
7,11126,2023,4
8,22858,2023,4
9,16797,2023,4
10,14669,2023,4
11,17395,2023,4
12,20809,2023,4
13,21705,2023,4
14,23046,2023,4
15,25144,2023,4
16,30763,2023,4
17,40136,2023,4
18,35911,2023,4
19,27826,2023,4
20,18967,2023,4
21,13928,2023,4
22,11378,2023,4
23,7814,2023,4
0,6781,2023,5
1,4130,2023,5
2,2951,2023,5
3,1540,2023,5
4,1246,2023,5
5,2700,2023,5
6,7984,2023,5
7,17823,2023,5
8,35289,2023,5
9,25104,2023,5
10,21196,2023,5
11,24932,2023,5
12,30005,2023,5
13,31686,2023,5
14,34067,2023,5
15,39123,2023,5
16,47268,2023,5
17,64094,2023,5
18,57027,2023,5
19,45266,2023,5
20,33662,2023,5
21,24718,2023,5
22,17784,2023,5
23,12306,2023,5
0,10635,2023,6
1,6707,2023,6
2,4960,2023,6
3,2479,2023,6
4,1761,2023,6
5,3333,2023,6
6,9377,2023,6
7,19721,2023,6
8,38704,2023,6
9,27291,2023,6
10,22529,2023,6
11,27422,2023,6
12,32664,2023,6
13,33876,2023,6
14,35189,2023,6
15,40304,2023,6
16,51018,2023,6
17,68782,2023,6
18,61026,2023,6
19,49610,2023,6
20,40740,2023,6
21,32405,2023,6
22,24204,2023,6
23,18412,2023,6
0,12055,2023,7
1,7746,2023,7
2,5862,2023,7
3,2963,2023,7
4,1924,2023,7
5,3440,2023,7
6,9700,2023,7
7,20356,2023,7
8,40016,2023,7
9,30080,2023,7
10,26947,2023,7
11,31662,2023,7
12,37290,2023,7
13,38671,2023,7
14,40578,2023,7
15,45348,2023,7
16,57724,2023,7
17,72362,2023,7
18,66288,2023,7
19,56216,2023,7
20,45650,2023,7
21,35286,2023,7
22,26351,2023,7
23,20743,2023,7
0,10761,2023,8
1,6682,2023,8
2,5003,2023,8
3,2737,2023,8
4,1762,2023,8
5,3546,2023,8
6,10608,2023,8
7,21632,2023,8
8,43108,2023,8
9,32116,2023,8
10,27459,2023,8
11,32127,2023,8
12,37481,2023,8
13,39551,2023,8
14,40801,2023,8
15,47080,2023,8
16,60462,2023,8
17,81269,2023,8
18,72222,2023,8
19,59471,2023,8
20,45464,2023,8
21,33176,2023,8
22,25361,2023,8
23,19389,2023,8
0,11208,2023,9
1,7077,2023,9
2,5262,2023,9
3,2735,2023,9
4,1924,2023,9
5,3564,2023,9
6,9954,2023,9
7,22079,2023,9
8,44438,2023,9
9,33347,2023,9
10,29205,2023,9
11,34900,2023,9
12,40558,2023,9
13,41918,2023,9
14,43751,2023,9
15,48148,2023,9
16,59793,2023,9
17,78081,2023,9
18,69075,2023,9
19,53985,2023,9
20,39108,2023,9
21,29824,2023,9
22,24130,2023,9
23,19297,2023,9
0,8151,2023,10
1,5522,2023,10
2,4157,2023,10
3,2184,2023,10
4,1622,2023,10
5,2950,2023,10
6,8593,2023,10
7,18863,2023,10
8,40137,2023,10
9,28834,2023,10
10,24275,2023,10
11,27825,2023,10
12,32377,2023,10
13,32971,2023,10
